Date,Time,Heart rate (bpm),Tag
Apr-15,11:20 PM,77,
Apr-15,10:51 PM,85,
Apr-15,9:50 PM,72,
Apr-15,8:10 PM,65,
Apr-15,7:50 PM,71,
Apr-15,6:10 PM,72,
Apr-15,5:40 PM,76,
Apr-15,4:10 PM,75,
Apr-15,3:40 PM,85,
Apr-15,3:10 PM - 3:26 PM,127,Exercising
Apr-15,2:34 PM - 2:47 PM,115,Exercising
Apr-15,2:10 PM,77,
Apr-15,1:50 AM,71,
Apr-15,12:50 AM,73,
Apr-14,11:51 PM,73,
Apr-14,10:10 PM,72,
Apr-14,9:50 PM,74,
Apr-14,8:40 PM,72,
Apr-14,7:50 PM,76,
Apr-14,6:30 PM,83,
Apr-14,5:50 PM,85,
Apr-14,4:20 PM,87,
Apr-14,3:31 PM,97,
Apr-14,2:30 PM,95,
Apr-14,1:50 PM,78,
Apr-14,1:41 AM,77,
Apr-14,12:50 AM,79,
Apr-13,11:50 PM,73,
Apr-13,7:40 PM,86,
Apr-13,1:00 AM,92,
Apr-12,11:40 PM,77,
Apr-12,10:50 PM,66,
Apr-12,9:50 PM,72,
Apr-12,8:50 PM,81,
Apr-12,7:50 PM,81,
Apr-12,6:17 PM - 6:46 PM,147,Exercising
Apr-11,7:00 PM,74,
Apr-11,6:50 PM,89,
Apr-11,5:20 PM,73,
Apr-11,4:40 PM,71,
Apr-11,3:40 PM,83,
Apr-11,3:07 PM - 3:19 PM,110,Exercising
Apr-11,2:50 PM,73,
Apr-11,2:06 PM - 2:17 PM,110,Exercising
Apr-11,1:41 PM,79,
Apr-11,12:24 PM - 1:36 PM,151,Exercising
Apr-11,12:50 PM,100,
Apr-11,2:00 AM,72,
Apr-11,1:00 AM,73,
Apr-11,12:50 AM,75,
Apr-10,11:50 PM,83,
Apr-10,10:50 PM,84,
Apr-10,9:30 PM,80,
Apr-10,8:50 PM,79,
Apr-10,7:31 PM - 7:45 PM,144,Exercising
Apr-10,7:20 PM,77,
Apr-10,6:51 PM,78,
Apr-10,6:38 PM - 6:50 PM,101,Exercising
Apr-10,5:30 PM,84,
Apr-10,4:40 PM,75,
Apr-10,3:50 PM,77,
Apr-10,2:53 PM,102,
Apr-10,2:01 PM - 2:26 PM,149,Exercising
Apr-10,1:08 PM - 1:52 PM,138,Exercising
Apr-10,1:50 PM,111,
